ENST00000450305	ENSG00000223972
ENST00000379409	ENSG00000187583
ENST00000379407	ENSG00000187583
ENST00000341290	ENSG00000187642
ENST00000433179	ENSG00000187642
ENST00000606034	ENSG00000272512
ENST00000428771	ENSG00000188290
ENST00000304952	ENSG00000188290
ENST00000484667	ENSG00000188290
ENST00000624697	ENSG00000187608
ENST00000379389	ENSG00000187608
ENST00000423619	ENSG00000231702
ENST00000379370	ENSG00000188157
ENST00000620552	ENSG00000188157
ENST00000412397	ENSG00000217801
ENST00000442292	ENSG00000273443
ENST00000453464	ENSG00000237330
ENST00000379339	ENSG00000131591
ENST00000421241	ENSG00000131591
ENST00000379320	ENSG00000131591
ENST00000379319	ENSG00000131591
ENST00000416774	ENSG00000223823
ENST00000384997	ENSG00000207730
ENST00000384875	ENSG00000207607
ENST00000362106	ENSG00000198976
ENST00000606993	ENSG00000272141
ENST00000379290	ENSG00000162571
ENST00000379289	ENSG00000162571
ENST00000379288	ENSG00000162571
ENST00000328596	ENSG00000186891
ENST00000379268	ENSG00000186891
ENST00000486728	ENSG00000186891
ENST00000379265	ENSG00000186891
ENST00000379236	ENSG00000186827
ENST00000360001	ENSG00000078808
ENST00000263741	ENSG00000078808
ENST00000379198	ENSG00000176022
ENST00000330388	ENSG00000184163
ENST00000565563	ENSG00000260179
ENST00000347370	ENSG00000160087
ENST00000349431	ENSG00000160087
ENST00000400929	ENSG00000160087
ENST00000360466	ENSG00000160087
ENST00000400930	ENSG00000160087
ENST00000434139	ENSG00000230415
ENST00000453732	ENSG00000230415
ENST00000379116	ENSG00000162572
ENST00000338555	ENSG00000162572
ENST00000400928	ENSG00000162572
ENST00000325425	ENSG00000162572
ENST00000354700	ENSG00000131584
ENST00000353662	ENSG00000131584
ENST00000379031	ENSG00000169972
ENST00000540437	ENSG00000127054
ENST00000545578	ENSG00000127054
ENST00000620829	ENSG00000127054
ENST00000618806	ENSG00000127054
ENST00000435064	ENSG00000127054
ENST00000411962	ENSG00000127054
ENST00000421495	ENSG00000127054
ENST00000419704	ENSG00000127054
ENST00000450926	ENSG00000127054
ENST00000429572	ENSG00000127054
ENST00000343938	ENSG00000224051
ENST00000339381	ENSG00000169962
ENST00000378891	ENSG00000107404
ENST00000378888	ENSG00000107404
ENST00000610709	ENSG00000107404
ENST00000342753	ENSG00000162576
ENST00000309212	ENSG00000162576
ENST00000445648	ENSG00000162576
ENST00000477278	ENSG00000162576
ENST00000338370	ENSG00000175756
ENST00000338338	ENSG00000175756
ENST00000321751	ENSG00000175756
ENST00000378853	ENSG00000175756
ENST00000435351	ENSG00000223663
ENST00000400809	ENSG00000221978
ENST00000408952	ENSG00000221978
ENST00000408918	ENSG00000221978
ENST00000344843	ENSG00000242485
ENST00000482352	ENSG00000242485
ENST00000607307	ENSG00000272455
ENST00000520296	ENSG00000235098
ENST00000427211	ENSG00000235098
ENST00000537107	ENSG00000235098
ENST00000454272	ENSG00000235098
ENST00000442470	ENSG00000235098
ENST00000378821	ENSG00000205116
ENST00000430109	ENSG00000225285
ENST00000417917	ENSG00000225285
ENST00000338660	ENSG00000179403
ENST00000476993	ENSG00000179403
ENST00000378785	ENSG00000215915
ENST00000308647	ENSG00000160072
ENST00000378756	ENSG00000197785
ENST00000378755	ENSG00000197785
ENST00000536055	ENSG00000197785
ENST00000378733	ENSG00000205090
ENST00000425828	ENSG00000205090
ENST00000624426	ENSG00000205090
ENST00000291386	ENSG00000160075
ENST00000359060	ENSG00000160075
ENST00000366221	ENSG00000215014
ENST00000621860	ENSG00000274481
ENST00000422725	ENSG00000228594
ENST00000520777	ENSG00000197530
ENST00000355826	ENSG00000197530
ENST00000518681	ENSG00000197530
ENST00000505820	ENSG00000197530
ENST00000378712	ENSG00000197530
ENST00000504599	ENSG00000197530
ENST00000378708	ENSG00000197530
ENST00000356026	ENSG00000189409
ENST00000378675	ENSG00000189409
ENST00000341832	ENSG00000248333
ENST00000407249	ENSG00000248333
ENST00000340677	ENSG00000248333
ENST00000629289	ENSG00000248333
ENST00000626918	ENSG00000248333
ENST00000629312	ENSG00000248333
ENST00000614300	ENSG00000189339
ENST00000617444	ENSG00000189339
ENST00000611123	ENSG00000189339
ENST00000597891	ENSG00000269737
ENST00000234610	ENSG00000215914
ENST00000356200	ENSG00000008128
ENST00000378638	ENSG00000008128
ENST00000404249	ENSG00000008128
ENST00000357760	ENSG00000008128
ENST00000358779	ENSG00000008128
ENST00000378633	ENSG00000008128
ENST00000418950	ENSG00000227775
ENST00000355439	ENSG00000215790
ENST00000246421	ENSG00000215790
ENST00000341426	ENSG00000008130
ENST00000341991	ENSG00000008130
ENST00000378625	ENSG00000008130
ENST00000610897	ENSG00000078369
ENST00000615252	ENSG00000078369
ENST00000378609	ENSG00000078369
ENST00000307786	ENSG00000169885
ENST00000378602	ENSG00000178821
ENST00000310991	ENSG00000178821
ENST00000493964	ENSG00000142609
ENST00000378585	ENSG00000187730
ENST00000640067	ENSG00000187730
ENST00000638771	ENSG00000187730
ENST00000640949	ENSG00000187730
ENST00000400921	ENSG00000067606
ENST00000400919	ENSG00000162585
ENST00000378546	ENSG00000162585
ENST00000597060	ENSG00000269554
ENST00000545087	ENSG00000203301
ENST00000442483	ENSG00000234396
ENST00000378536	ENSG00000157933
ENST00000378531	ENSG00000116151
ENST00000378529	ENSG00000116151
ENST00000600779	ENSG00000269753
ENST00000417061	ENSG00000269896
ENST00000378513	ENSG00000157916
ENST00000378518	ENSG00000157916
ENST00000605895	ENSG00000157916
ENST00000378512	ENSG00000157916
ENST00000488353	ENSG00000157916
ENST00000288774	ENSG00000157911
ENST00000447513	ENSG00000157911
ENST00000507596	ENSG00000157911
ENST00000449969	ENSG00000149527
ENST00000419816	ENSG00000149527
ENST00000378486	ENSG00000149527
ENST00000378466	ENSG00000157881
ENST00000378453	ENSG00000197921
ENST00000606645	ENSG00000272449
ENST00000409119	ENSG00000157873
ENST00000355716	ENSG00000157873
ENST00000424215	ENSG00000228037
ENST00000444521	ENSG00000157870
ENST00000378425	ENSG00000157870
ENST00000419916	ENSG00000157870
ENST00000378424	ENSG00000157870
ENST00000537325	ENSG00000157870
ENST00000378412	ENSG00000142606
ENST00000502556	ENSG00000142606
ENST00000401095	ENSG00000215912
ENST00000637179	ENSG00000215912
ENST00000457440	ENSG00000233234
ENST00000429389	ENSG00000231630
ENST00000641229	ENSG00000284745
ENST00000378404	ENSG00000169717
ENST00000511072	ENSG00000142611
ENST00000378391	ENSG00000142611
ENST00000514189	ENSG00000142611
ENST00000270722	ENSG00000142611
ENST00000607061	ENSG00000272235
ENST00000378378	ENSG00000130762
ENST00000378373	ENSG00000130762
ENST00000378371	ENSG00000130762
ENST00000606489	ENSG00000272088
ENST00000294599	ENSG00000162591
ENST00000356575	ENSG00000162591
ENST00000385042	ENSG00000207776
ENST00000378344	ENSG00000158109
ENST00000344579	ENSG00000158109
ENST00000378322	ENSG00000116213
ENST00000270708	ENSG00000116213
ENST00000378295	ENSG00000078900
ENST00000604074	ENSG00000078900
ENST00000354437	ENSG00000078900
ENST00000357733	ENSG00000078900
ENST00000346387	ENSG00000078900
ENST00000603362	ENSG00000078900
ENST00000604479	ENSG00000078900
ENST00000378285	ENSG00000078900
ENST00000378280	ENSG00000078900
ENST00000378288	ENSG00000078900
ENST00000378290	ENSG00000078900
ENST00000637775	ENSG00000227372
ENST00000294600	ENSG00000162592
ENST00000444870	ENSG00000235169
ENST00000561886	ENSG00000235169
ENST00000378251	ENSG00000130764
ENST00000378230	ENSG00000116198
ENST00000378223	ENSG00000116198
ENST00000625756	ENSG00000169598
ENST00000338895	ENSG00000169598
ENST00000378209	ENSG00000169598
ENST00000341385	ENSG00000169598
ENST00000579705	ENSG00000264428
ENST00000361605	ENSG00000198912
ENST00000442673	ENSG00000236423
ENST00000439488	ENSG00000236423
ENST00000412674	ENSG00000233304
ENST00000635247	ENSG00000226374
ENST00000642026	ENSG00000284668
ENST00000641562	ENSG00000284668
ENST00000641078	ENSG00000284668
ENST00000642139	ENSG00000284703
ENST00000449232	ENSG00000229280
ENST00000423197	ENSG00000235054
ENST00000641472	ENSG00000284694
ENST00000438791	ENSG00000227169
ENST00000634256	ENSG00000232596
ENST00000420522	ENSG00000232596
ENST00000378190	ENSG00000196581
ENST00000378191	ENSG00000196581
ENST00000641254	ENSG00000284739
ENST00000641403	ENSG00000284674
ENST00000443270	ENSG00000231510
ENST00000641871	ENSG00000284616
ENST00000641860	ENSG00000284692
ENST00000641583	ENSG00000284666
ENST00000564261	ENSG00000260972
ENST00000637697	ENSG00000283356
ENST00000637702	ENSG00000236948
ENST00000413887	ENSG00000236948
ENST00000579887	ENSG00000264341
ENST00000401226	ENSG00000216045
ENST00000582517	ENSG00000264101
ENST00000378156	ENSG00000131697
ENST00000622020	ENSG00000131697
ENST00000585151	ENSG00000266687
ENST00000378111	ENSG00000069424
ENST00000378097	ENSG00000069424
ENST00000378092	ENSG00000069424
ENST00000352527	ENSG00000069424
ENST00000341524	ENSG00000069424
ENST00000602612	ENSG00000069424
ENST00000164247	ENSG00000069424
ENST00000378083	ENSG00000069424
ENST00000458166	ENSG00000069424
ENST00000594544	ENSG00000268332
ENST00000262450	ENSG00000116254
ENST00000484532	ENSG00000116251
ENST00000234875	ENSG00000116251
ENST00000497965	ENSG00000116251
ENST00000377939	ENSG00000158286
ENST00000343813	ENSG00000116237
ENST00000441724	ENSG00000225077
ENST00000429480	ENSG00000225077
ENST00000377898	ENSG00000173673
ENST00000377893	ENSG00000158292
ENST00000608083	ENSG00000097021
ENST00000377842	ENSG00000097021
ENST00000377845	ENSG00000097021
ENST00000377855	ENSG00000097021
ENST00000545482	ENSG00000097021
ENST00000361521	ENSG00000097021
ENST00000377837	ENSG00000069812
ENST00000377836	ENSG00000069812
ENST00000377834	ENSG00000069812
ENST00000487437	ENSG00000069812
ENST00000489730	ENSG00000069812
ENST00000636330	ENSG00000187017
ENST00000377828	ENSG00000187017
ENST00000416731	ENSG00000187017
ENST00000461727	ENSG00000187017
ENST00000585139	ENSG00000265392
ENST00000377782	ENSG00000215788
ENST00000356876	ENSG00000215788
ENST00000351959	ENSG00000215788
ENST00000351748	ENSG00000215788
ENST00000348333	ENSG00000215788
ENST00000535355	ENSG00000171680
ENST00000400913	ENSG00000171680
ENST00000340850	ENSG00000171680
ENST00000537245	ENSG00000171680
ENST00000377748	ENSG00000171680
ENST00000377725	ENSG00000171680
ENST00000377728	ENSG00000171680
ENST00000377732	ENSG00000171680
ENST00000400915	ENSG00000171680
ENST00000377740	ENSG00000171680
ENST00000377705	ENSG00000162408
ENST00000456162	ENSG00000229519
ENST00000333172	ENSG00000173662
ENST00000351136	ENSG00000173662
ENST00000377674	ENSG00000204859
ENST00000377658	ENSG00000162413
ENST00000377663	ENSG00000162413
ENST00000467612	ENSG00000162413
ENST00000610898	ENSG00000162413
ENST00000463043	ENSG00000162413
ENST00000377648	ENSG00000116273
ENST00000054650	ENSG00000041988
ENST00000307896	ENSG00000041988
ENST00000377627	ENSG00000041988
ENST00000377577	ENSG00000007923
ENST00000294401	ENSG00000007923
ENST00000432429	ENSG00000228750
ENST00000635092	ENSG00000228750
ENST00000641757	ENSG00000284744
ENST00000303635	ENSG00000171735
ENST00000473578	ENSG00000171735
ENST00000557126	ENSG00000171735
ENST00000467404	ENSG00000171735
ENST00000476864	ENSG00000171735
ENST00000433407	ENSG00000227950
ENST00000602640	ENSG00000270171
ENST00000602973	ENSG00000270035
ENST00000602916	ENSG00000269978
ENST00000054666	ENSG00000049245
ENST00000470357	ENSG00000049245
ENST00000377541	ENSG00000049246
ENST00000613533	ENSG00000049246
ENST00000614998	ENSG00000049246
ENST00000377532	ENSG00000049246
ENST00000361923	ENSG00000049246
ENST00000377516	ENSG00000049247
ENST00000361696	ENSG00000049247
ENST00000054668	ENSG00000049247
ENST00000615230	ENSG00000049249
ENST00000377507	ENSG00000049249
ENST00000603760	ENSG00000270330
ENST00000338639	ENSG00000116288
ENST00000493678	ENSG00000116288
ENST00000377493	ENSG00000116288
ENST00000377491	ENSG00000116288
ENST00000377488	ENSG00000116288
ENST00000641100	ENSG00000284716
ENST00000474874	ENSG00000116285
ENST00000377482	ENSG00000116285
ENST00000467067	ENSG00000116285
ENST00000469499	ENSG00000116285
ENST00000445300	ENSG00000238290
ENST00000399343	ENSG00000232848
ENST00000453364	ENSG00000229305
ENST00000635451	ENSG00000227634
ENST00000424689	ENSG00000233645
ENST00000471889	ENSG00000162426
ENST00000289877	ENSG00000162426
ENST00000337907	ENSG00000142599
ENST00000377464	ENSG00000142599
ENST00000400907	ENSG00000142599
ENST00000476556	ENSG00000142599
ENST00000400908	ENSG00000142599
ENST00000605785	ENSG00000270282
ENST00000437586	ENSG00000234619
ENST00000428803	ENSG00000224315
ENST00000445254	ENSG00000226545
ENST00000433876	ENSG00000228423
ENST00000436229	ENSG00000229716
ENST00000234590	ENSG00000074800
ENST00000425872	ENSG00000238249
ENST00000424862	ENSG00000232208
ENST00000431968	ENSG00000232663
ENST00000480186	ENSG00000131686
ENST00000377443	ENSG00000131686
ENST00000377436	ENSG00000131686
ENST00000377442	ENSG00000131686
ENST00000400906	ENSG00000197241
ENST00000377424	ENSG00000142583
ENST00000377414	ENSG00000142583
ENST00000377411	ENSG00000180758
ENST00000635687	ENSG00000228526
ENST00000385130	ENSG00000207865
ENST00000635271	ENSG00000234546
ENST00000412639	ENSG00000234546
ENST00000632503	ENSG00000281937
ENST00000377403	ENSG00000049239
ENST00000602477	ENSG00000049239
ENST00000517032	ENSG00000252841
ENST00000328089	ENSG00000171621
ENST00000357898	ENSG00000171621
ENST00000377399	ENSG00000171621
ENST00000641006	ENSG00000284652
ENST00000641325	ENSG00000284693
ENST00000441033	ENSG00000235263
ENST00000302692	ENSG00000171612
ENST00000435277	ENSG00000231181
ENST00000340305	ENSG00000188807
ENST00000340381	ENSG00000188807
ENST00000536656	ENSG00000171608
ENST00000628140	ENSG00000171608
ENST00000377346	ENSG00000171608
ENST00000543390	ENSG00000171608
ENST00000361110	ENSG00000171608
ENST00000426570	ENSG00000233268
ENST00000377298	ENSG00000171603
ENST00000361311	ENSG00000171603
ENST00000603781	ENSG00000271264
ENST00000377263	ENSG00000178585
ENST00000400904	ENSG00000178585
ENST00000377258	ENSG00000178585
ENST00000377256	ENSG00000178585
ENST00000377223	ENSG00000162441
ENST00000400903	ENSG00000162441
ENST00000377213	ENSG00000162441
ENST00000403197	ENSG00000173614
ENST00000377205	ENSG00000173614
ENST00000578045	ENSG00000265521
ENST00000294435	ENSG00000162444
ENST00000253251	ENSG00000130939
ENST00000377153	ENSG00000130939
ENST00000343090	ENSG00000130939
ENST00000456484	ENSG00000224340
ENST00000416729	ENSG00000233623
ENST00000377093	ENSG00000054523
ENST00000263934	ENSG00000054523
ENST00000377086	ENSG00000054523
ENST00000377083	ENSG00000054523
ENST00000377081	ENSG00000054523
ENST00000620295	ENSG00000054523
ENST00000622724	ENSG00000054523
ENST00000577266	ENSG00000264881
ENST00000641619	ENSG00000284735
ENST00000641117	ENSG00000284735
ENST00000641335	ENSG00000284642
ENST00000270776	ENSG00000142657
ENST00000400900	ENSG00000251503
ENST00000470413	ENSG00000251503
ENST00000602787	ENSG00000251503
ENST00000602296	ENSG00000251503
ENST00000465026	ENSG00000251503
ENST00000309048	ENSG00000175279
ENST00000462462	ENSG00000175279
ENST00000377049	ENSG00000241563
ENST00000377038	ENSG00000160049
ENST00000377036	ENSG00000160049
ENST00000356607	ENSG00000142655
ENST00000377022	ENSG00000130940
ENST00000344008	ENSG00000130940
ENST00000450782	ENSG00000225158
ENST00000377004	ENSG00000175262
ENST00000400899	ENSG00000215785
ENST00000582090	ENSG00000264181
ENST00000240185	ENSG00000120948
ENST00000639083	ENSG00000120948
ENST00000629725	ENSG00000120948
ENST00000315091	ENSG00000120948
ENST00000638264	ENSG00000120948
ENST00000621790	ENSG00000120948
ENST00000616545	ENSG00000120948
ENST00000614757	ENSG00000277726
ENST00000400897	ENSG00000009724
ENST00000400898	ENSG00000009724
ENST00000376957	ENSG00000116649
ENST00000304457	ENSG00000171824
ENST00000376936	ENSG00000171824
ENST00000376838	ENSG00000198793
ENST00000361445	ENSG00000198793
ENST00000376819	ENSG00000171819
ENST00000448289	ENSG00000238173
ENST00000376810	ENSG00000120942
ENST00000376804	ENSG00000120942
ENST00000433562	ENSG00000238199
ENST00000641979	ENSG00000284646
ENST00000435243	ENSG00000224338
ENST00000294484	ENSG00000204624
ENST00000304391	ENSG00000204624
ENST00000453135	ENSG00000235643
ENST00000354287	ENSG00000116661
ENST00000251546	ENSG00000132879
ENST00000376770	ENSG00000132879
ENST00000376768	ENSG00000132879
ENST00000251547	ENSG00000132879
ENST00000376760	ENSG00000132879
ENST00000376762	ENSG00000132879
ENST00000376753	ENSG00000116663
ENST00000235310	ENSG00000116670
ENST00000376692	ENSG00000116670
ENST00000376672	ENSG00000116670
ENST00000376669	ENSG00000116670
ENST00000376667	ENSG00000116670
ENST00000294485	ENSG00000162490
ENST00000376637	ENSG00000177674
ENST00000400895	ENSG00000177674
ENST00000376629	ENSG00000177674
ENST00000376627	ENSG00000177674
ENST00000314340	ENSG00000177674
ENST00000452018	ENSG00000177674
ENST00000510878	ENSG00000177674
ENST00000433342	ENSG00000215910
ENST00000376592	ENSG00000177000
ENST00000376583	ENSG00000177000
ENST00000376585	ENSG00000177000
ENST00000376590	ENSG00000177000
ENST00000641407	ENSG00000177000
ENST00000641820	ENSG00000177000
ENST00000312413	ENSG00000011021
ENST00000346436	ENSG00000011021
ENST00000376497	ENSG00000011021
ENST00000376496	ENSG00000011021
ENST00000376480	ENSG00000175206
ENST00000610706	ENSG00000175206
ENST00000376476	ENSG00000175206
ENST00000376468	ENSG00000120937
ENST00000438808	ENSG00000224904
ENST00000376572	ENSG00000116685
ENST00000616327	ENSG00000116685
ENST00000376576	ENSG00000116685
ENST00000196061	ENSG00000083444
ENST00000444836	ENSG00000116688
ENST00000235329	ENSG00000116688
ENST00000603287	ENSG00000270914
ENST00000235332	ENSG00000116691
ENST00000417814	ENSG00000120949
ENST00000263932	ENSG00000120949
ENST00000413146	ENSG00000120949
ENST00000439324	ENSG00000227875
ENST00000536782	ENSG00000028137
ENST00000376259	ENSG00000028137
ENST00000584158	ENSG00000263676
ENST00000453852	ENSG00000225196
ENST00000620676	ENSG00000048707
ENST00000613099	ENSG00000048707
ENST00000543766	ENSG00000048707
ENST00000416696	ENSG00000229484
ENST00000616661	ENSG00000162496
ENST00000606790	ENSG00000272482
ENST00000376221	ENSG00000204518
ENST00000436879	ENSG00000226166
ENST00000359318	ENSG00000188984
ENST00000614859	ENSG00000157330
ENST00000376210	ENSG00000157330
ENST00000357726	ENSG00000116726
ENST00000332296	ENSG00000116721
ENST00000438401	ENSG00000228338
ENST00000535591	ENSG00000204513
ENST00000438176	ENSG00000231103
ENST00000317869	ENSG00000179172
ENST00000240189	ENSG00000120952
ENST00000235349	ENSG00000243073
ENST00000235347	ENSG00000187545
ENST00000616979	ENSG00000204510
ENST00000330881	ENSG00000204510
ENST00000418187	ENSG00000234064
ENST00000415464	ENSG00000232423
ENST00000376189	ENSG00000232423
ENST00000376187	ENSG00000204508
ENST00000436041	ENSG00000239810
ENST00000437631	ENSG00000233336
ENST00000611860	ENSG00000277862
ENST00000458709	ENSG00000236179
ENST00000621994	ENSG00000275774
ENST00000323770	ENSG00000179412
ENST00000423177	ENSG00000229571
ENST00000353410	ENSG00000204503
ENST00000376173	ENSG00000204503
ENST00000376168	ENSG00000204502
ENST00000431596	ENSG00000231219
ENST00000357367	ENSG00000182330
ENST00000376152	ENSG00000204501
ENST00000432559	ENSG00000228229
ENST00000638454	ENSG00000279169
ENST00000625019	ENSG00000279169
ENST00000610289	ENSG00000274178
ENST00000376126	ENSG00000204491
ENST00000376121	ENSG00000204488
ENST00000332192	ENSG00000204486
ENST00000327795	ENSG00000204486
ENST00000330087	ENSG00000157358
ENST00000334600	ENSG00000204481
ENST00000376101	ENSG00000204480
ENST00000376098	ENSG00000204479
ENST00000316412	ENSG00000204478
ENST00000602960	ENSG00000204478
ENST00000376085	ENSG00000162494
ENST00000401091	ENSG00000215909
ENST00000294489	ENSG00000162493
ENST00000617617	ENSG00000162493
ENST00000376057	ENSG00000162493
ENST00000621990	ENSG00000162493
ENST00000510906	ENSG00000162493
ENST00000509009	ENSG00000162493
ENST00000376061	ENSG00000162493
ENST00000513143	ENSG00000162493
ENST00000487038	ENSG00000162493
ENST00000475043	ENSG00000162493
ENST00000577470	ENSG00000266358
ENST00000441809	ENSG00000237445
ENST00000376048	ENSG00000116731
ENST00000311066	ENSG00000116731
ENST00000235372	ENSG00000116731
ENST00000413440	ENSG00000116731
ENST00000343137	ENSG00000116731
ENST00000503842	ENSG00000116731
ENST00000505823	ENSG00000116731
ENST00000636564	ENSG00000189337
ENST00000636203	ENSG00000189337
ENST00000376030	ENSG00000189337
ENST00000503743	ENSG00000189337
ENST00000361144	ENSG00000189337
ENST00000400798	ENSG00000189337
ENST00000400797	ENSG00000189337
ENST00000449215	ENSG00000231606
ENST00000447908	ENSG00000234593
ENST00000416175	ENSG00000235829
ENST00000428417	ENSG00000171729
ENST00000376014	ENSG00000171729
ENST00000400796	ENSG00000171729
ENST00000434578	ENSG00000171729
ENST00000376008	ENSG00000171729
ENST00000424792	ENSG00000204464
ENST00000625027	ENSG00000204464
ENST00000400795	ENSG00000215720
ENST00000612442	ENSG00000278480
ENST00000358897	ENSG00000142621
ENST00000375998	ENSG00000142621
ENST00000375997	ENSG00000142621
ENST00000375995	ENSG00000142621
ENST00000427824	ENSG00000228140
ENST00000375980	ENSG00000142634
ENST00000375949	ENSG00000162438
ENST00000375943	ENSG00000162438
ENST00000359621	ENSG00000142615
ENST00000375910	ENSG00000215704
ENST00000546424	ENSG00000132906
ENST00000333868	ENSG00000132906
ENST00000348549	ENSG00000132906
ENST00000375890	ENSG00000132906
ENST00000375838	ENSG00000116138
ENST00000616884	ENSG00000116138
ENST00000375847	ENSG00000116138
ENST00000375849	ENSG00000116138
ENST00000375826	ENSG00000116771
ENST00000454346	ENSG00000235084
ENST00000422383	ENSG00000236500
ENST00000480945	ENSG00000197312
ENST00000345034	ENSG00000215695
ENST00000606262	ENSG00000271742
ENST00000375799	ENSG00000116786
ENST00000375793	ENSG00000116786
ENST00000584345	ENSG00000264048
ENST00000294454	ENSG00000162461
ENST00000375782	ENSG00000162460
ENST00000375771	ENSG00000162458
ENST00000375766	ENSG00000162458
ENST00000441801	ENSG00000162458
ENST00000332305	ENSG00000162458
ENST00000431782	ENSG00000224321
ENST00000483273	ENSG00000233954
ENST00000321418	ENSG00000178715
ENST00000375759	ENSG00000065526
ENST00000604816	ENSG00000270620
ENST00000375743	ENSG00000116809
ENST00000537142	ENSG00000116809
ENST00000375733	ENSG00000116809
ENST00000416882	ENSG00000234607
ENST00000424379	ENSG00000231353
ENST00000613591	ENSG00000275503
ENST00000505954	ENSG00000224966
ENST00000329454	ENSG00000183888
ENST00000411503	ENSG00000173641
ENST00000311890	ENSG00000173641
ENST00000375718	ENSG00000173641
ENST00000487046	ENSG00000173641
ENST00000406363	ENSG00000173641
ENST00000375692	ENSG00000186510
ENST00000439316	ENSG00000186510
ENST00000331433	ENSG00000186510
ENST00000447882	ENSG00000232456
ENST00000619181	ENSG00000184908
ENST00000375679	ENSG00000184908
ENST00000375667	ENSG00000184908
ENST00000375662	ENSG00000185519
ENST00000358432	ENSG00000142627
ENST00000270747	ENSG00000142632
ENST00000602586	ENSG00000237276
ENST00000375605	ENSG00000204377
ENST00000375599	ENSG00000132881
ENST00000421314	ENSG00000233929
ENST00000375592	ENSG00000037637
ENST00000401088	ENSG00000055070
ENST00000471507	ENSG00000055070
ENST00000401089	ENSG00000055070
ENST00000492354	ENSG00000055070
ENST00000445689	ENSG00000226457
ENST00000335496	ENSG00000187144
ENST00000540400	ENSG00000187144
ENST00000375577	ENSG00000187144
ENST00000612240	ENSG00000187144
ENST00000337132	ENSG00000157191
ENST00000504551	ENSG00000157191
ENST00000457722	ENSG00000157191
ENST00000443980	ENSG00000157191
ENST00000457898	ENSG00000226029
ENST00000420820	ENSG00000080947
ENST00000562878	ENSG00000261135
ENST00000452795	ENSG00000224174
ENST00000601199	ENSG00000268674
ENST00000438396	ENSG00000225710
ENST00000577341	ENSG00000266584
ENST00000430580	ENSG00000219481
ENST00000432949	ENSG00000219481
ENST00000607700	ENSG00000271732
ENST00000412962	ENSG00000215908
ENST00000639399	ENSG00000283773
ENST00000457982	ENSG00000186301
ENST00000633763	ENSG00000282143
ENST00000434336	ENSG00000237847
ENST00000584111	ENSG00000264742
ENST00000419267	ENSG00000236698
ENST00000270691	ENSG00000268869
ENST00000624517	ENSG00000279151
ENST00000600179	ENSG00000268991
ENST00000633433	ENSG00000282740
ENST00000375541	ENSG00000058453
ENST00000457096	ENSG00000227684
ENST00000455405	ENSG00000186715
ENST00000442552	ENSG00000186715
ENST00000545160	ENSG00000186715
ENST00000422345	ENSG00000223643
ENST00000414128	ENSG00000230239
ENST00000583661	ENSG00000263811
ENST00000422124	ENSG00000238142
ENST00000453917	ENSG00000235241
ENST00000606899	ENSG00000272426
ENST00000375534	ENSG00000117122
ENST00000375535	ENSG00000117122
ENST00000326735	ENSG00000159363
ENST00000341676	ENSG00000159363
ENST00000452699	ENSG00000159363
ENST00000617114	ENSG00000159363
ENST00000375499	ENSG00000117118
